,id,activity_type,transaction_time,type,price,qty,side,symbol,leaves_qty,order_id,cum_qty
0,20210416125304133::27c263ed-881c-4549-a694-e56ef487d541,FILL,2021-04-16T16:53:04.133448Z,fill,378,4,buy,ROKU,0,2fdf1813-6f68-41ea-a5d6-33d541bb0250,13
1,20210416125303750::caf42e12-5e42-4562-bfc4-c51caea11be7,FILL,2021-04-16T16:53:03.750692Z,partial_fill,378,9,buy,ROKU,4,2fdf1813-6f68-41ea-a5d6-33d541bb0250,9
2,20210416125154457::6c2393c5-62b2-420c-a89a-0d625b9101c8,FILL,2021-04-16T16:51:54.457903Z,fill,416.52,12,buy,SPY,0,7f333cf5-bf12-477d-9a89-45c57173667e,12
3,20210416125046138::39fe66a4-88a8-4f5d-9d9f-02b2e27dc8b7,FILL,2021-04-16T16:50:46.138243Z,fill,137.35,36,buy,PG,0,721b5ee8-8e89-493a-bb7b-067187ae1450,36
4,20210416124903490::c556fd56-2308-4804-881d-1516d4be9884,FILL,2021-04-16T16:49:03.490669Z,fill,39.5,127,sell,VIAC,0,fb467cbc-608f-422f-bc39-15cbfb84bb10,127
5,20210416124719284::0756c383-2c55-4357-991e-ded84506d8c5,FILL,2021-04-16T16:47:19.284459Z,fill,56.72,88,buy,XOM,0,c8e8f207-4a6d-45f1-9770-37642795e0c2,88
6,20210416124503435::f80faa96-0126-40b7-902a-395a9a80529c,FILL,2021-04-16T16:45:03.43596Z,fill,379.07,13,sell,ROKU,0,55effdb2-bce6-4c81-aba6-d9168cfb1903,13
7,20210416124321891::3c2dff6c-95f5-4dbd-8713-d6c1d7d48400,FILL,2021-04-16T16:43:21.891223Z,fill,100.45,40,sell,PENN,0,2a35a45b-b772-4a3a-97a2-4791fe5a88da,50
8,20210416124321587::02dfc3f4-6b7b-4057-98be-586154563d25,FILL,2021-04-16T16:43:21.587407Z,partial_fill,100.45,10,sell,PENN,40,2a35a45b-b772-4a3a-97a2-4791fe5a88da,10
9,20210416124141175::4cad87b4-c0d6-4b45-92e4-9449f50a8748,FILL,2021-04-16T16:41:41.175907Z,fill,214.11,19,buy,CRWD,0,942af514-3293-45f7-b1f4-158f914752b7,23
10,20210416124140659::f890a9af-8873-451c-8470-59613c0f3560,FILL,2021-04-16T16:41:40.659973Z,partial_fill,214.11,4,buy,CRWD,19,942af514-3293-45f7-b1f4-158f914752b7,4
11,20210416123926212::e38e18d9-79fb-4020-bfee-2ffa1d887590,FILL,2021-04-16T16:39:26.212576Z,fill,152.98,33,sell,JPM,0,154a54b1-0ab7-4369-82d0-00c098051380,33
12,20210416123349482::769f773a-3e39-4848-9641-f482bb42acdd,FILL,2021-04-16T16:33:49.482959Z,fill,340.02,15,sell,GS,0,f60eb445-2629-4744-bd89-1860ef0afa83,15
13,20210416122230220::660f5c61-e785-45be-889d-8c65e3e2613c,FILL,2021-04-16T16:22:30.220416Z,fill,39.48,127,buy,VIAC,0,14126fbf-6361-481f-8134-fe66dee27905,127
14,20210416121149770::ca02b9d8-e707-42fc-b7c5-e052fc7e2f2c,FILL,2021-04-16T16:11:49.770416Z,fill,100.72,50,buy,PENN,0,6512c1cf-9dff-4b8e-8b95-a6aa3ff7f17a,50
15,20210416120139670::8c117f82-c62b-45d0-b768-228eb789d7f9,FILL,2021-04-16T16:01:39.670107Z,fill,416.6,12,sell,SPY,0,aa997ecd-ab9a-499c-9611-6b8e21a50ae9,12
16,20210416120139489::0cc43079-8a34-47f1-b0f6-77361e228cf9,FILL,2021-04-16T16:01:39.489935Z,fill,133.93,37,sell,AAPL,0,8d5ab916-9177-4548-845e-159eff5d8e59,37
17,20210416115850114::cf846da2-9ff6-49b1-b74f-966d5697171d,FILL,2021-04-16T15:58:50.114641Z,fill,153.03,33,buy,JPM,0,811327f3-664b-4dfe-93f4-c442eefae2ac,33
18,20210416115709172::7bb640e2-bff6-42fd-93da-ee3641bf10e4,FILL,2021-04-16T15:57:09.172823Z,fill,378.96,13,buy,ROKU,0,2c7439ec-7cc1-46c6-aaaa-a58cd09a4e59,13
19,20210416115601578::a90463f7-a558-49c2-8e20-e7bb3a65f69c,FILL,2021-04-16T15:56:01.578612Z,fill,339.9,15,buy,GS,0,db0266d5-ce08-4ca5-8f15-0311d909db17,15
20,20210416114303776::d0dc3de0-a52d-4e5d-85c7-c34dda904207,FILL,2021-04-16T15:43:03.77665Z,fill,217.1,23,buy,DG,0,b7853df5-6f33-48c6-9637-d6110646f997,23
21,20210416112936595::4c2c7d3a-56fc-47b2-a84f-2f8d4935df15,FILL,2021-04-16T15:29:36.595948Z,fill,416.29,12,buy,SPY,0,e63b4c34-7da8-44c1-a89c-6b893316b573,12
22,20210416110051219::4cd5072c-4cb2-4792-9873-a634901a972d,FILL,2021-04-16T15:00:51.219613Z,fill,133.92,37,buy,AAPL,0,35ff9acd-0d9c-45ba-8e06-8cf6ea0a37c9,37
23,20210416105946585::44a930a3-90a4-47ee-97d4-1b291a03529e,FILL,2021-04-16T14:59:46.585623Z,fill,160.98,12,sell,JNJ,0,af4cc77f-118d-44b8-917a-10a9a00897cd,31
24,20210416105946151::7dedc284-d969-45b1-b2bc-df6d72431c90,FILL,2021-04-16T14:59:46.151966Z,partial_fill,160.98,19,sell,JNJ,12,af4cc77f-118d-44b8-917a-10a9a00897cd,19
25,20210416104014927::e0e65f1b-1098-4471-94ff-5a8b91d458c6,FILL,2021-04-16T14:40:14.927256Z,fill,37.47,133,sell,DISCA,0,66712735-0be0-4803-b550-a707c5169a64,133
26,20210416103909493::8c5ae464-b206-418a-8b13-72216b151f9e,FILL,2021-04-16T14:39:09.493146Z,fill,56.74,88,sell,XOM,0,d16db8f9-0d08-4f6a-92cc-9ee81968996c,88
27,20210416103836983::1f3f2b67-8572-4459-b23a-903606901796,FILL,2021-04-16T14:38:36.983505Z,fill,39.14,128,sell,VIAC,0,a419e281-1228-462c-8716-157ece2a823f,128
28,20210416093011602::8b51ba43-d3ea-482c-b015-ccd179d127d4,FILL,2021-04-16T13:30:11.602459Z,fill,134.52,37,sell,AAPL,0,fee22b44-7f73-488f-9cd3-2b586d8c1b86,37
29,20210415153843095::3d02a0ac-e636-441a-95d3-bf365ee452aa,FILL,2021-04-15T19:38:43.09561Z,fill,415.3,12,sell,SPY,0,8bf2fcff-c0a3-4e9d-b219-bbad0b0fc853,12
30,20210415152916397::40fcb436-3b36-4b59-93b2-bde2e0294d10,FILL,2021-04-15T19:29:16.3971Z,fill,37.65,133,buy,DISCA,0,9ab964b3-632b-4f3e-82a0-9d0b9b849c3c,133
31,20210415152702460::0045ce6c-9048-4698-8ac6-9b35ab1799ce,FILL,2021-04-15T19:27:02.460845Z,fill,39.15,128,buy,VIAC,0,2f420499-4ed7-4560-ad4e-912e87f898e6,128
32,20210415151707274::f65d9836-7c16-4dd1-a5da-672eed3da5b5,FILL,2021-04-15T19:17:07.274181Z,fill,137.26,36,sell,PG,0,19de8fac-52f1-4b8c-b9f2-e83369249c5a,36
33,20210415151315860::b3e60f54-68d4-4c7d-838f-25e62fbdac94,FILL,2021-04-15T19:13:15.860929Z,fill,56.95,88,buy,XOM,0,3022b0f2-341c-4525-96e4-d6fb8452fa90,88
34,20210415145611186::f83899a6-2aa8-473b-8ea4-d27df5bf8117,FILL,2021-04-15T18:56:11.18628Z,fill,415.24,12,buy,SPY,0,d3169edd-22f6-4538-b8ed-5ccd268f1b08,12
35,20210415144727581::73c4dda9-7d78-420e-b83b-fe67bef6a74e,FILL,2021-04-15T18:47:27.581927Z,fill,134.26,2,buy,AAPL,0,7c33c3ea-7d0f-49fd-93d5-9ec57a99affe,37
36,20210415144727239::300914c2-7c03-4f72-b824-a43b083cfe01,FILL,2021-04-15T18:47:27.239926Z,partial_fill,134.26,24,buy,AAPL,2,7c33c3ea-7d0f-49fd-93d5-9ec57a99affe,35
37,20210415144726866::7820773b-ee12-41f1-8dbc-66de268c5208,FILL,2021-04-15T18:47:26.866859Z,partial_fill,134.26,11,buy,AAPL,26,7c33c3ea-7d0f-49fd-93d5-9ec57a99affe,11
38,20210415143340695::6d82d87e-cf7e-472d-8ab9-986dcb4481cc,FILL,2021-04-15T18:33:40.695983Z,fill,134.55,37,sell,AAPL,0,fb8e875a-bdb2-4bf3-af4a-f8a113f0e942,37
39,20210415143022118::afb80c37-f6de-420a-8405-9bab5326b56a,FILL,2021-04-15T18:30:22.118413Z,fill,216.04,23,sell,DG,0,1be766e1-009a-41da-a20e-aae7d69fe2dc,23
40,20210415142452961::e2c1aa54-b0b7-4d4c-b0c5-4337bf1e31ea,FILL,2021-04-15T18:24:52.961436Z,fill,134.38,37,buy,AAPL,0,b353282d-3068-4318-a79e-6fc821d5894b,37
41,20210415140510534::17d6abbc-4b91-421a-8c51-ec73d0b9b69f,FILL,2021-04-15T18:05:10.534238Z,fill,415.57,12,sell,SPY,0,bbd91ba1-f72f-47dd-9322-98555fdf11c2,12
42,20210415135936603::fe1c80be-0644-48c6-84c7-cd7d421c0dd2,FILL,2021-04-15T17:59:36.603974Z,fill,37.77,132,sell,DISCA,0,26776a6c-7dd6-4347-9697-51bbcc71d537,132
43,20210415135936167::13886ff8-f7e0-40b3-ae31-43aeb7e3978a,FILL,2021-04-15T17:59:36.167472Z,fill,56.95,88,sell,XOM,0,47c9e8ff-3761-4995-be2b-35a4110d0019,88
44,20210415135217069::af3f5ce5-c57e-4740-89ac-f241a87b3372,FILL,2021-04-15T17:52:17.069048Z,fill,415.31,12,buy,SPY,0,f103f489-e653-4d14-97a7-ab731fac6df5,12
45,20210415134146306::bc6099a9-77af-479a-8efd-ecf1a5063aea,FILL,2021-04-15T17:41:46.306704Z,fill,39.32,127,sell,VIAC,0,9c199d89-d4ab-4aac-915f-a06398670afc,127
46,20210415134146158::bb03d904-cf3b-4888-bd6a-f3ac83580cfd,FILL,2021-04-15T17:41:46.158543Z,fill,216.54,23,buy,DG,0,991b8c0c-f21c-4d45-9f4c-b6461c84b3d8,23
47,20210415133426742::21855841-3d38-4f33-a0d1-0748646e4ed1,FILL,2021-04-15T17:34:26.742776Z,fill,387,13,sell,ROKU,0,f79938a2-1520-4928-9751-094e78d5e4b2,13
48,20210415133426170::f61e4103-ab83-44a9-ab4c-38514cbdbafe,FILL,2021-04-15T17:34:26.170317Z,fill,99.46,50,sell,PENN,0,5d8503be-d306-4e7e-aa76-0307d47dd20c,50
49,20210415133220251::384078c3-d3e7-49a8-b9a3-30d8e391d493,FILL,2021-04-15T17:32:20.25139Z,fill,415.44,12,sell,SPY,0,73e251d4-2c03-4770-bb23-b96956c56395,12
50,20210415133117140::0a42eb65-1875-4531-a166-72775a1d4c2c,FILL,2021-04-15T17:31:17.140676Z,fill,212.03,24,sell,CRWD,0,6178cbfb-d88c-4238-83df-650387fef2a8,24
51,20210415133117120::ea4125a9-a7f9-49f8-86af-665a10397416,FILL,2021-04-15T17:31:17.120087Z,fill,161.54,31,buy,JNJ,0,c2ae469b-9c1e-42ed-b5b9-dea1b3949180,31
52,20210415132603542::c3b06872-2efb-4a8e-ab83-e073e24ed907,FILL,2021-04-15T17:26:03.542331Z,fill,137.56,36,buy,PG,0,c7ebf6cf-f0ea-429e-9c65-b108a4c6c4f4,36
53,20210415131122434::e00eac90-fd1f-44ae-a506-1a16eb6c0f2f,FILL,2021-04-15T17:11:22.434112Z,fill,385.05,13,buy,ROKU,0,7c49fc09-8983-40a8-81a7-e21da0497dea,13
54,20210415131121899::fdac790a-7dd3-4e6e-b6ba-cb90c54bbfbc,FILL,2021-04-15T17:11:21.899712Z,fill,39.25,127,buy,VIAC,0,f42977d7-a84f-408a-895b-e277695a4741,127
55,20210415130916363::bc9b1288-75f1-418c-8b7f-626376d552fd,FILL,2021-04-15T17:09:16.363723Z,fill,99.17,50,buy,PENN,0,61e5f5ab-0dd5-4d9d-ad40-d593bcb89f77,50
56,20210415130813763::313dbacf-ff2f-4c40-9b6a-0ea6168434eb,FILL,2021-04-15T17:08:13.76382Z,fill,57.04,54,buy,XOM,0,3cb5adde-dea0-4fdd-a671-62fbc6e7e0da,88
57,20210415130813516::e05c687d-182d-4cf5-818c-ed27f57e31ef,FILL,2021-04-15T17:08:13.516547Z,fill,211.34,24,buy,CRWD,0,81bdb940-e288-4e6d-a061-eb14929a3b6b,24
58,20210415130813374::b8b01189-803c-4c39-afa0-2ba8ed6ce009,FILL,2021-04-15T17:08:13.3743Z,partial_fill,57.04,6,buy,XOM,54,3cb5adde-dea0-4fdd-a671-62fbc6e7e0da,34
59,20210415130813038::44776ba2-3c71-417c-a479-df9887f36f0b,FILL,2021-04-15T17:08:13.038662Z,partial_fill,57.04,28,buy,XOM,60,3cb5adde-dea0-4fdd-a671-62fbc6e7e0da,28
60,20210415130709958::0cedf4b5-4c3b-4b2e-b5a9-5f8db03a68ac,FILL,2021-04-15T17:07:09.958615Z,fill,37.8,132,buy,DISCA,0,cc499e6f-6e02-4660-9942-99eeeeeb816e,132
61,20210415130709630::9985f360-c586-43fb-9f5f-35def54edae3,FILL,2021-04-15T17:07:09.630984Z,fill,415.31,12,buy,SPY,0,2904d6d0-5fc9-4d4c-a68a-dc3a2bce663b,12
62,20210415130258376::08c84833-8e0f-4742-851a-f48ddd6d407a,FILL,2021-04-15T17:02:58.376731Z,fill,39.49,124,sell,VIAC,0,458cdadc-2dce-4d46-bcc7-0d997e792bfb,124
63,20210415130053326::6613975b-8fe2-45f0-aaef-c07c7a674cda,FILL,2021-04-15T17:00:53.326134Z,fill,386.51,13,sell,ROKU,0,24ca2981-73da-49cb-9560-3d65ed19dee7,13
64,20210415125643284::473ac84a-18a6-4e76-8f14-98f3edc5d620,FILL,2021-04-15T16:56:43.284212Z,fill,161.51,31,sell,JNJ,0,4eb79a75-8b89-4c7d-b237-3e8f1a449232,31
65,20210415125129926::780e668a-0401-4352-9d93-b377b6a0e401,FILL,2021-04-15T16:51:29.926613Z,fill,386.27,13,buy,ROKU,0,8879643f-2b72-4906-8268-e6aebd17b3d4,13
66,20210415124615788::a149b62e-c258-47dc-b642-8f2dbe3a282d,FILL,2021-04-15T16:46:15.788174Z,fill,99.83,49,sell,PENN,0,c3f68ea5-54b3-46d5-a873-bc83ed8eb99b,49
67,20210415124410891::4a6e142b-7cf9-4b8e-b23d-d8434d8ad29c,FILL,2021-04-15T16:44:10.891229Z,fill,57.12,88,sell,XOM,0,3dfca57d-72a2-4fea-b7bd-65605824c0cb,88
68,20210415123754846::6339ea93-4794-47be-ae03-edd0554187c7,FILL,2021-04-15T16:37:54.846119Z,fill,37.88,130,sell,DISCA,0,51ceec6c-cd6d-4e7d-bb50-d1d8727764bc,130
69,20210415123549237::b283f060-8b23-4098-a361-ea48ae21133f,FILL,2021-04-15T16:35:49.237888Z,fill,134.12,38,sell,AAPL,0,a0c38a6a-eeeb-4b25-9196-5091c00afa97,38
70,20210415122624459::d3a845c0-e9e6-4c42-8097-461d184292ad,FILL,2021-04-15T16:26:24.459563Z,fill,57.02,88,buy,XOM,0,33e72683-4f23-40d4-884f-08fd804ab447,88
71,20210415121608847::2ac4b41f-7b22-4693-8105-a9634dd1e9f5,FILL,2021-04-15T16:16:08.84752Z,fill,210.12,24,sell,CRWD,0,dd87c0a0-aa1a-4383-8c5c-c40159808d34,24
72,20210415121403847::e61516f7-5732-43c1-aa27-e286640ecb6f,FILL,2021-04-15T16:14:03.847653Z,fill,386,13,sell,ROKU,0,118c1ca2-ffa5-4bd5-8588-76e502f70b81,13
73,20210415121302254::52fb379f-5e37-487b-bfb4-385b6ce4e3ea,FILL,2021-04-15T16:13:02.254053Z,fill,161.51,15,buy,JNJ,0,412a5595-9536-44c9-ab50-b944f3665a83,31
74,20210415121301559::c0bf4ef8-86e4-4e07-b457-21eed5776636,FILL,2021-04-15T16:13:01.559419Z,partial_fill,161.51,16,buy,JNJ,15,412a5595-9536-44c9-ab50-b944f3665a83,16
75,20210415120845670::fe0e8bf4-0366-4432-9674-29db5c10b528,FILL,2021-04-15T16:08:45.670397Z,fill,414.99,12,sell,SPY,0,6f7cca56-98ff-42b1-b22e-cbd2b57f0721,12
76,20210415120639969::605f5955-4f32-40da-bac8-e816316916d2,FILL,2021-04-15T16:06:39.969216Z,fill,137.33,16,sell,PG,0,1bfb33ee-b1a9-4c25-bd99-a0c4d51c47ce,37
77,20210415120639270::b65d79b3-0097-4d3e-8b87-b7d05b78db7d,FILL,2021-04-15T16:06:39.270419Z,partial_fill,137.33,21,sell,PG,16,1bfb33ee-b1a9-4c25-bd99-a0c4d51c47ce,21
78,20210415093012734::e9607e15-d52a-457d-8a84-fd3c38241684,FILL,2021-04-15T13:30:12.734216Z,fill,213.75,23,sell,DG,0,c90b7712-8310-42f5-ae7e-b48e05489f5e,23
79,20210414154827586::a922c812-91e9-4a3a-a9d7-bad2b74bc090,FILL,2021-04-14T19:48:27.586266Z,fill,135.47,37,buy,PG,0,34c4b02e-56e0-427a-a344-05b2b30c736e,37
80,20210414154311911::4e8bea23-f067-4b18-abb0-e553bb8d77ac,FILL,2021-04-14T19:43:11.911136Z,fill,40.32,124,buy,VIAC,0,5d2296e7-26fb-4ba9-b235-bfa9ed079c6b,124
81,20210414154208254::44bc0915-8994-4f5f-be90-c4bd8b4d0bf5,FILL,2021-04-14T19:42:08.254806Z,fill,38.36,130,buy,DISCA,0,1d823e44-f101-4162-a2e4-2c553025f63e,130
82,20210414154105070::80846911-e760-419c-82b6-f61afadde27e,FILL,2021-04-14T19:41:05.07009Z,fill,213.12,23,buy,DG,0,6a849d54-7cc1-41cb-9972-2738b7113cdb,23
83,20210414153754741::d3916066-70e8-4b1d-ae20-a531d560d294,FILL,2021-04-14T19:37:54.741027Z,fill,411.37,12,buy,SPY,0,911f05c6-0236-43a5-afcf-245947557ca5,12
84,20210414153651891::9239fda6-2981-41d5-9695-9a6bf46349b2,FILL,2021-04-14T19:36:51.891463Z,fill,132.22,33,buy,AAPL,0,c9a4d215-5715-44d0-b3a2-1149e8e9c32f,38
85,20210414153651425::645aa152-d743-4222-aee8-f2499216ac34,FILL,2021-04-14T19:36:51.425121Z,partial_fill,132.22,5,buy,AAPL,33,c9a4d215-5715-44d0-b3a2-1149e8e9c32f,5
86,20210414153239022::a691a340-7f2f-459a-9dee-37df3c418870,FILL,2021-04-14T19:32:39.022089Z,fill,40.5,123,sell,VIAC,0,8eb5b318-b9ee-44b8-ad46-1fa4a78ac53b,123
87,20210414153238620::0bd2a5f2-5ec7-4d8f-ba43-fec483a758a1,FILL,2021-04-14T19:32:38.620051Z,fill,57.25,87,sell,XOM,0,feba3893-2e89-4f0b-a9d4-8d517058e251,87
88,20210414152825308::b40e2e75-af1a-489d-8d49-e47765f67501,FILL,2021-04-14T19:28:25.308829Z,fill,411.92,12,sell,SPY,0,3f08507e-ecef-4397-84b0-ca3380c81e86,12
89,20210414151647661::4ee13cd4-f2c4-43f2-ae29-c1367d22860a,FILL,2021-04-14T19:16:47.661272Z,fill,132.55,38,sell,AAPL,0,2db569c1-4e3c-4f86-9fd7-fc06fbe47b28,38
90,20210414150616868::a78a8db3-3bc0-49bf-b329-0e74f9d9de13,FILL,2021-04-14T19:06:16.86849Z,fill,159.85,31,sell,JNJ,0,b6e7d3c9-daa2-4752-ab5d-7d26e291ca03,31
91,20210414145132031::82a80d0d-6d49-4793-b55b-df56a1601dfe,FILL,2021-04-14T18:51:32.031357Z,fill,208.95,24,buy,CRWD,0,71214ce7-48b5-496c-8600-eee128c929c4,24
92,20210414145131960::1fe3c264-bb30-406f-a529-3461a8936ec4,FILL,2021-04-14T18:51:31.960256Z,fill,379.75,13,buy,ROKU,0,d43d8617-536b-4582-9848-6d1ea7c314b8,13
93,20210414145028835::49d0e08b-c099-4719-b639-60d9eb6c592a,FILL,2021-04-14T18:50:28.835634Z,fill,57.26,62,buy,XOM,0,165467a3-6315-408c-a009-d9962b35e33d,87
94,20210414145028369::f073ea78-61f5-4aee-90ab-21f5c459aa09,FILL,2021-04-14T18:50:28.36949Z,partial_fill,57.26,25,buy,XOM,62,165467a3-6315-408c-a009-d9962b35e33d,25
95,20210414145027978::854c7a86-2d17-41d3-b891-ef64c936f323,FILL,2021-04-14T18:50:27.978388Z,fill,132.45,38,buy,AAPL,0,53653b69-30fc-45dc-87a8-096c075e716d,38
96,20210414144924388::ac375c6f-b801-4ade-b4f1-bead71b96fdf,FILL,2021-04-14T18:49:24.388494Z,fill,411.87,12,buy,SPY,0,e20a35fa-6024-4e2a-babb-bda66316af41,12
97,20210414144718180::b11fcdec-84d4-4262-a3d6-2b378a075275,FILL,2021-04-14T18:47:18.180599Z,fill,159.73,13,buy,JNJ,0,eb1b372c-d226-4e9d-8704-530788509b0e,31
98,20210414144717788::8b54073d-40dd-4291-b478-d19a584e8ef8,FILL,2021-04-14T18:47:17.788696Z,partial_fill,159.73,18,buy,JNJ,13,eb1b372c-d226-4e9d-8704-530788509b0e,18
99,20210414144407800::3d3adabe-de6c-4571-8d18-4379b8e96ec8,FILL,2021-04-14T18:44:07.800967Z,fill,212.97,24,sell,DG,0,82f46f80-1eec-459d-b221-b2e6d8edbee2,24
